Country Name,Country Code,Region,Year,População Urbana (%),Crescimento População Urbana (%),Acesso a Água Potável Urbana (%),Matrícula no Ensino Primário (%),Matrícula no Ensino Secundário (%),PIB per capita (US$),Expectativa de Vida (anos),Nível Urbanização
Argentina,ARG,América Latina,2018.0,91.86509090909091,0.8333045104758218,99.66165163638303,99.2679,88.77025,12292.224158704777,76.18081818181818,Alta
Brazil,BRA,América Latina,2018.0,86.54072727272727,0.9375461045047323,99.57491955462002,95.022298,81.94323,9602.093234743435,74.97345454545454,Alta
Canada,CAN,América do Norte,2018.0,81.45700000000001,1.3884962097568057,99.29303328753541,99.650176,94.791828,48584.59284654536,81.72949002217297,Alta
Chile,CHL,América Latina,2018.0,87.59054545454545,1.132991232032932,99.92967849067637,93.851658,88.586636,14920.58227188281,79.96627272727272,Alta
China,CHN,Ásia,2018.0,58.999818181818185,2.381139044100676,98.21759553624233,,,10018.475209441604,77.50272727272727,Média
Colombia,COL,América Latina,2018.0,80.74954545454545,1.6393427541342291,99.62412625495479,91.94230166666667,76.28856,6698.845871884466,75.95972727272728,Alta
"Egypt, Arab Rep.",EGY,África,2018.0,42.82727272727273,1.9103409611791526,99.31251840090411,97.59404333333333,79.49501758333334,3237.0807204262705,70.40181818181819,Baixa
France,FRA,Europa,2018.0,80.44881818181818,0.6851451047280933,100.0,98.41102599999999,93.7106,40793.29133610847,82.49733924611975,Alta
Germany,DEU,Europa,2018.0,77.37754545454546,0.45448993110330327,100.0,89.125076,86.169552,47850.946053219915,80.8519512195122,Alta
Ghana,GHA,África,2018.0,56.032999999999994,3.3006693292888185,94.44991983969643,86.20184142857143,55.25309285714286,2138.969109501775,63.971545454545456,Média
India,IND,Ásia,2018.0,34.091181818181816,2.3347676606213237,94.95597044172379,92.25734,61.63147,1932.7498057060445,69.89399999999999,Baixa
Indonesia,IDN,Ásia,2018.0,55.29981818181818,2.180614688967884,96.44996261431842,92.0549325,76.596505,3939.2879124512824,69.66645454545454,Média
Italy,ITA,Europa,2018.0,70.4549090909091,0.2424971137026544,,96.636816,95.208146,34453.258790529675,82.96363636363637,Alta
Kenya,KEN,África,2018.0,27.080636363636362,3.848173391911557,86.6424655128101,,,1764.7430733952729,62.457181818181816,Baixa
Mexico,MEX,América Latina,2018.0,80.14999999999999,1.3148417106598573,99.4799624646869,96.287898,79.12734800000001,10564.96010835292,73.62118181818181,Alta
Nigeria,NGA,África,2018.0,50.286272727272724,3.9936878947200243,88.10865015056297,,,2235.4524624598907,52.821636363636365,Média
South Africa,ZAF,África,2018.0,66.33545454545454,2.232616644234839,98.95148940172169,85.4095912,83.4956726,6453.4588014255105,64.5769090909091,Média
Spain,ESP,Europa,2018.0,80.3299090909091,0.6013635449196117,99.91167123287677,98.89765,93.31034,29296.149996420627,83.2219512195122,Alta
Thailand,THA,Ásia,2018.0,49.928090909090905,1.793757464609211,99.75032156211816,,77.91160166666667,6600.689215223614,76.68972727272727,Baixa
United Kingdom,GBR,Europa,2018.0,83.38790909090909,0.9641896253747856,100.0,99.740454,96.78634,44195.58667812808,81.04833259423502,Alta
United States,USA,América do Norte,2018.0,82.27336363636364,0.8685706475423703,99.86779143143181,93.927178,91.047888,64300.24190805317,78.17339246119734,Alta
Viet Nam,VNM,Ásia,2018.0,35.93281818181818,3.0197280705289358,98.09579450951126,97.96511,,3231.5575175315053,74.23645454545455,Baixa
